Station_ID,maintFlag,WRK_DAY2,useHrs
Station-6,1,12/18/2019,24
Station-1,1,12/18/2019,24
Station-3,1,12/17/2019,24
Station-5,1,12/17/2019,24
Station-4,1,12/17/2019,24
Station-1,1,12/17/2019,24
Station-6,1,12/17/2019,24
Station-2,1,12/17/2019,24
Station-5,0,12/16/2019,19
Station-4,1,12/16/2019,5
Station-3,1,12/16/2019,15
Station-6,1,12/16/2019,24
Station-5,1,12/16/2019,5
Station-3,0,12/16/2019,9
Station-1,1,12/16/2019,24
Station-2,0,12/16/2019,19
Station-2,1,12/16/2019,5
Station-4,0,12/16/2019,19
Station-4,1,12/15/2019,19
Station-5,0,12/15/2019,5
Station-5,1,12/15/2019,19
Station-6,1,12/15/2019,24
Station-3,1,12/15/2019,24
Station-1,1,12/15/2019,24
Station-4,0,12/15/2019,5
Station-2,1,12/15/2019,24
Station-3,1,12/14/2019,24
Station-1,1,12/14/2019,24
Station-2,1,12/14/2019,24
Station-5,1,12/14/2019,24
Station-4,1,12/14/2019,24
Station-6,1,12/14/2019,24
Station-2,1,12/13/2019,5
Station-5,0,12/13/2019,19
Station-1,0,12/13/2019,19
Station-5,1,12/13/2019,5
Station-3,0,12/13/2019,19
Station-6,1,12/13/2019,24
Station-4,0,12/13/2019,19
Station-1,1,12/13/2019,5
Station-3,1,12/13/2019,5
Station-4,1,12/13/2019,5
Station-2,0,12/13/2019,19
Station-5,0,12/12/2019,24
Station-6,1,12/12/2019,24
Station-2,0,12/12/2019,24
Station-1,0,12/12/2019,24
Station-4,0,12/12/2019,24
Station-3,0,12/12/2019,24
Station-2,0,12/11/2019,24
Station-3,0,12/11/2019,24
Station-6,1,12/11/2019,24
Station-1,1,12/11/2019,5
Station-5,0,12/11/2019,24
Station-1,0,12/11/2019,19
Station-4,0,12/11/2019,24
Station-5,0,12/10/2019,24
Station-6,1,12/10/2019,24
Station-1,0,12/10/2019,19
Station-4,0,12/10/2019,24
Station-2,0,12/10/2019,24
Station-1,1,12/10/2019,5
Station-3,0,12/10/2019,24
Station-1,1,12/9/2019,5
Station-5,0,12/9/2019,24
Station-3,1,12/9/2019,5
Station-6,1,12/9/2019,24
Station-4,0,12/9/2019,24
Station-2,0,12/9/2019,24
Station-3,0,12/9/2019,19
Station-1,0,12/9/2019,19
Station-1,1,12/8/2019,24
Station-3,1,12/8/2019,24
Station-6,1,12/8/2019,24
Station-4,1,12/8/2019,24
Station-2,1,12/8/2019,24
Station-5,1,12/8/2019,24
Station-1,0,12/7/2019,10
Station-6,1,12/7/2019,24
Station-3,0,12/7/2019,10
Station-5,1,12/7/2019,24
Station-4,1,12/7/2019,24
Station-1,1,12/7/2019,14
Station-2,0,12/7/2019,10
Station-3,1,12/7/2019,14
Station-2,1,12/7/2019,14
Station-5,0,12/6/2019,19
Station-3,0,12/6/2019,19
Station-6,1,12/6/2019,24
Station-2,1,12/6/2019,5
Station-1,0,12/6/2019,19
Station-5,1,12/6/2019,5
Station-4,1,12/6/2019,15
Station-3,1,12/6/2019,5
Station-2,0,12/6/2019,19
Station-1,1,12/6/2019,5
Station-4,0,12/6/2019,9
Station-6,1,12/5/2019,24
Station-2,0,12/5/2019,24
Station-1,0,12/5/2019,24
Station-3,0,12/5/2019,24
Station-5,0,12/5/2019,24
Station-4,0,12/5/2019,24
Station-1,0,12/4/2019,24
Station-5,0,12/4/2019,24
Station-4,0,12/4/2019,24
Station-3,0,12/4/2019,24
Station-6,1,12/4/2019,24
Station-2,0,12/4/2019,24
Station-2,0,12/3/2019,24
Station-6,1,12/3/2019,24
Station-4,0,12/3/2019,24
Station-5,0,12/3/2019,24
Station-3,0,12/3/2019,24
Station-1,0,12/3/2019,24
Station-1,0,12/2/2019,24
Station-3,0,12/2/2019,24
Station-2,0,12/2/2019,24
Station-6,1,12/2/2019,24
Station-5,0,12/2/2019,24
Station-4,0,12/2/2019,24
Station-1,1,12/1/2019,24
Station-6,1,12/1/2019,24
Station-4,1,12/1/2019,24
Station-5,0,12/1/2019,5
Station-2,1,12/1/2019,24
Station-3,1,12/1/2019,24
Station-5,1,12/1/2019,19
Station-1,0,11/30/2019,10
Station-6,1,11/30/2019,24
Station-2,0,11/30/2019,10
